hown245,2015-10-01 18:17:00,V,13000
hown245,2015-10-02 18:56:00,F,33500
hown245,2015-10-02 20:25:00,R,14000
hown245,2015-10-03 19:29:00,U,23000
hown245,2015-10-03 19:37:00,C,20000
hown245,2015-10-03 21:53:00,V,6100
hown245,2015-10-05 11:46:00,YT,2000
hown245,2015-10-05 22:03:00,A,19000
hown245,2015-10-07 21:15:00,G,20000
hown245,2015-10-08 17:16:00,V,4000
hown245,2015-10-08 18:46:00,A,7000
hown245,2015-10-11 05:48:00,C,2200
hown245,2015-10-11 05:48:00,j,500
hown245,2015-10-11 15:49:00,U,4500
hown245,2015-10-11 18:59:00,K,9500
hown245,2015-10-11 19:34:00,NB,5000
hown245,2015-10-11 21:33:00,C,9900
hown245,2015-10-13 19:56:00,C,5800
hown245,2015-10-13 20:15:00,B,4000
hown245,2015-10-14 21:02:00,C,20000
hown245,2015-10-14 21:18:00,B,9500
hown245,2015-10-15 20:43:00,C,5000
hown245,2015-10-15 20:47:00,B,9500
hown245,2015-10-15 20:49:00,T,11000
hown245,2015-10-17 22:41:00,YT,7500
hown245,2015-10-19 20:31:00,R,12000
hown245,2015-10-19 20:38:00,X,9500
hown245,2015-10-21 20:29:00,C,11000
hown245,2015-10-22 20:31:00,A,8000
hown245,2015-10-22 20:49:00,D,3100
hown245,2015-10-24 14:19:00,F,6000
hown245,2015-10-27 20:15:00,J,24000
hown245,2015-10-27 20:19:00,G,9000
hown245,2015-10-29 21:58:00,NB,6000
hown245,2015-10-31 21:36:00,C,36000
